FARMACIA;;;;;;;;;;;;;;
ID_Cliente;Zona;ID_ZONA;País;Tipo_de_producto;Canal_de_venta;Prioridad;Fecha_pedido;ID_Pedido;Fecha_envío;Unidades; Precio_unitario ; Coste_unitario ; Importe_venta_total ; Importe_coste_total 
2421;Europa;5;United Kingdom;Snacks;Offline;Crítica;12/10/2020;242113196;30/11/2020;5530; $ 152,58 ; $ 97,44 ; $ 843.767 ; $ 538.843 
1908;Europa;5;Malta;Cárnicos;Online;Alta;26/01/2020;190800607;28/01/2020;994; $ 421,89 ; $ 364,69 ; $ 419.359 ; $ 362.502 
7652;Australia y Oceanía;3;Marshall Islands;Cereales;Online;Crítica;9/11/2020;765228068;21/11/2020;6845; $ 205,70 ; $ 117,11 ; $ 1.408.017 ; $ 801.618 
2326;África;1;Iran;Frutas;Offline;Baja;21/08/2021;232631909;2/10/2021;9806; $ 9,33 ; $ 6,92 ; $ 91.490 ; $ 67.858 
5305;Centroamérica y Caribe;4;Guatemala;Alimento infantil;Offline;Media;30/09/2022;530560958;12/11/2022;3633; $ 255,28 ; $ 159,42 ; $ 927.432 ; $ 579.173 
5168;Centroamérica y Caribe;4;Grenada;Bebida;Offline;Baja;21/01/2022;516876542;21/02/2022;4110; $ 47,45 ; $ 31,79 ; $ 195.020 ; $ 130.657 
9197;Australia y Oceanía;3;Fiji;Snacks;Offline;Media;17/02/2022;919752490;27/02/2022;4056; $ 152,58 ; $ 97,44 ; $ 618.864 ; $ 395.217 
2876;África;1;Tunisia ;Cosméticos;Offline;Media;21/03/2020;287675130;7/05/2020;8319; $ 437,20 ; $ 263,33 ; $ 3.637.067 ; $ 2.190.642 
8394;Centroamérica y Caribe;4;Grenada;Cuidado personal;Offline;Crítica;13/02/2021;839443290;1/04/2021;8779; $ 81,73 ; $ 56,67 ; $ 717.508 ; $ 497.506 
8141;Australia y Oceanía;3;Australia;Material de oficina;Online;Media;15/06/2021;814168298;12/07/2021;9347; $ 651,21 ; $ 524,96 ; $ 6.086.860 ; $ 4.906.801 
3212;Norteamérica;6;Greenland;Cosméticos;Online;Alta;15/07/2022;321273982;30/08/2022;966; $ 437,20 ; $ 263,33 ; $ 422.335 ; $ 254.377 
8904;África;1;Angola;Snacks;Online;Crítica;13/05/2020;890496671;5/06/2020;6609; $ 152,58 ; $ 97,44 ; $ 1.008.401 ; $ 643.981 
5218;África;1;Zambia;Bebida;Offline;Crítica;6/05/2021;521885192;22/05/2021;6281; $ 47,45 ; $ 31,79 ; $ 298.033 ; $ 199.673 
4358;África;1;Kenya;Verduras;Offline;Alta;7/11/2020;435800874;25/12/2020;2018; $ 154,06 ; $ 90,93 ; $ 310.893 ; $ 183.497 
1229;África;1;Azerbaijan;Frutas;Offline;Crítica;20/10/2021;122917544;17/11/2021;2888; $ 9,33 ; $ 6,92 ; $ 26.945 ; $ 19.985 
4942;África;1;Mozambique;Cuidado personal;Offline;Crítica;21/10/2021;494221532;18/11/2021;9989; $ 81,73 ; $ 56,67 ; $ 816.401 ; $ 566.077 
7310;Australia y Oceanía;3;Federated States of Micronesia;Cosméticos;Offline;Crítica;19/04/2020;731011664;30/04/2020;1451; $ 437,20 ; $ 263,33 ; $ 634.377 ; $ 382.092 
5348;Centroamérica y Caribe;4;Dominican Republic;Snacks;Offline;Crítica;3/11/2022;534899270;4/11/2022;7436; $ 152,58 ; $ 97,44 ; $ 1.134.585 ; $ 724.564 
5778;África;1;Libya;Material de oficina;Online;Alta;10/07/2022;577808177;22/07/2022;5135; $ 651,21 ; $ 524,96 ; $ 3.343.963 ; $ 2.695.670 
2519;Asia;2;Uzbekistan;Material de oficina;Online;Baja;1/06/2021;251974713;21/06/2021;3772; $ 651,21 ; $ 524,96 ; $ 2.456.364 ; $ 1.980.149 
8199;Asia;2;Sri Lanka;Cuidado personal;Offline;Media;28/07/2020;819947707;5/09/2020;9602; $ 81,73 ; $ 56,67 ; $ 784.771 ; $ 544.145 
4645;África;1;The Gambia;Cosméticos;Online;Crítica;8/06/2021;464588487;25/07/2021;912; $ 437,20 ; $ 263,33 ; $ 398.726 ; $ 240.157 
1390;Asia;2;Myanmar;Snacks;Offline;Media;26/07/2021;139070880;4/08/2021;3019; $ 152,58 ; $ 97,44 ; $ 460.639 ; $ 294.171 
4168;Asia;2;Bhutan;Ropa;Online;Crítica;15/10/2021;416881215;21/10/2021;3270; $ 109,28 ; $ 35,84 ; $ 357.346 ; $ 117.197 
1418;África;1;Mali;Verduras;Online;Crítica;23/11/2021;141818320;29/11/2021;6047; $ 154,06 ; $ 90,93 ; $ 931.601 ; $ 549.854 
4779;África;1;Burundi;Cuidado personal;Online;Alta;31/01/2022;477993524;12/03/2022;7761; $ 81,73 ; $ 56,67 ; $ 634.307 ; $ 439.816 
8598;África;1;Libya;Ropa;Offline;Alta;11/07/2021;859830653;5/08/2021;1852; $ 109,28 ; $ 35,84 ; $ 202.387 ; $ 66.376 
3420;África;1;Nigeria;Ropa;Offline;Crítica;26/08/2022;342066037;11/10/2022;3797; $ 109,28 ; $ 35,84 ; $ 414.936 ; $ 136.084 
7497;Europa;5;Norway;Doméstico;Online;Crítica;21/02/2021;749748504;16/03/2021;6098; $ 668,27 ; $ 502,54 ; $ 4.075.110 ; $ 3.064.489 
8282;África;1;Kenya;Cosméticos;Offline;Media;30/08/2021;828239381;8/10/2021;3293; $ 437,20 ; $ 263,33 ; $ 1.439.700 ; $ 867.146 
2932;Australia y Oceanía;3;Papua New Guinea;Verduras;Online;Alta;19/02/2022;293212497;9/03/2022;6948; $ 154,06 ; $ 90,93 ; $ 1.070.409 ; $ 631.782 
2806;Asia;2;North Korea;Cuidado personal;Offline;Baja;17/11/2020;280654180;2/01/2021;663; $ 81,73 ; $ 56,67 ; $ 54.187 ; $ 37.572 
1968;Europa;5;Montenegro;Ropa;Offline;Media;25/11/2020;196863257;9/01/2021;5067; $ 109,28 ; $ 35,84 ; $ 553.722 ; $ 181.601 
8684;Europa;5;Norway;Frutas;Offline;Alta;6/10/2022;868451058;8/10/2022;2822; $ 9,33 ; $ 6,92 ; $ 26.329 ; $ 19.528 
4923;África;1;Lesotho;Ropa;Offline;Baja;7/04/2020;492341411;24/05/2020;3619; $ 109,28 ; $ 35,84 ; $ 395.484 ; $ 129.705 
4857;Asia;2;Indonesia;Cárnicos;Online;Alta;2/12/2021;485770642;15/12/2021;9183; $ 421,89 ; $ 364,69 ; $ 3.874.216 ; $ 3.348.948 
5362;África;1;Iraq;Bebida;Online;Alta;28/11/2020;536287581;28/12/2020;8268; $ 47,45 ; $ 31,79 ; $ 392.317 ; $ 262.840 
8517;Asia;2;Singapore;Cereales;Online;Crítica;3/04/2022;851753556;12/05/2022;1660; $ 205,70 ; $ 117,11 ; $ 341.462 ; $ 194.403 
8103;Asia;2;South Korea;Verduras;Online;Media;15/05/2021;810342395;31/05/2021;7177; $ 154,06 ; $ 90,93 ; $ 1.105.689 ; $ 652.605 
3105;África;1;Lebanon;Doméstico;Online;Baja;26/08/2022;310540425;1/09/2022;4668; $ 668,27 ; $ 502,54 ; $ 3.119.484 ; $ 2.345.857 
2211;Asia;2;Myanmar;Frutas;Online;Alta;23/11/2020;221146476;31/12/2020;1011; $ 9,33 ; $ 6,92 ; $ 9.433 ; $ 6.996 
1312;Asia;2;Vietnam;Ropa;Online;Alta;23/09/2022;131271874;27/09/2022;5120; $ 109,28 ; $ 35,84 ; $ 559.514 ; $ 183.501 
6003;África;1;Jordan;Frutas;Online;Baja;25/04/2022;600340449;2/06/2022;2935; $ 9,33 ; $ 6,92 ; $ 27.384 ; $ 20.310 
9080;Australia y Oceanía;3;Palau;Material de oficina;Offline;Baja;20/10/2022;908088529;22/11/2022;2430; $ 651,21 ; $ 524,96 ; $ 1.582.440 ; $ 1.275.653 
